"DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN"
"1" 2020-03-15 "Antwerpen" "Flanders" 8 2020-03-15 "Brussels" "Brussels" 7 2020-03-15 "Hainaut" "Wallonia" 26 2020-03-15 "Limburg" "Flanders" 9 2020-03-15 "Liège" "Wallonia" 4 2020-03-15 "Luxembourg" "Wallonia" 3 2020-03-15 "Namur" "Wallonia" 0 2020-03-15 "OostVlaanderen" "Flanders" 5 2020-03-15 "VlaamsBrabant" "Flanders" 2 2020-03-15 "BrabantWallon" "Wallonia" 1 2020-03-15 "WestVlaanderen" "Flanders" 6
"12" 2020-03-16 "Antwerpen" "Flanders" 12 2020-03-16 "Brussels" "Brussels" 11 2020-03-16 "Hainaut" "Wallonia" 28 2020-03-16 "Limburg" "Flanders" 7 2020-03-16 "Liège" "Wallonia" 2 2020-03-16 "Luxembourg" "Wallonia" 0 2020-03-16 "Namur" "Wallonia" 1 2020-03-16 "OostVlaanderen" "Flanders" 4 2020-03-16 "VlaamsBrabant" "Flanders" 13 2020-03-16 "BrabantWallon" "Wallonia" 3 2020-03-16 "WestVlaanderen" "Flanders" 9
"23" 2020-03-17 "Antwerpen" "Flanders" 17 2020-03-17 "Brussels" "Brussels" 16 2020-03-17 "Hainaut" "Wallonia" 27 2020-03-17 "Limburg" "Flanders" 23 2020-03-17 "Liège" "Wallonia" 5 2020-03-17 "Luxembourg" "Wallonia" 2 2020-03-17 "Namur" "Wallonia" 0 2020-03-17 "OostVlaanderen" "Flanders" 10 2020-03-17 "VlaamsBrabant" "Flanders" 9 2020-03-17 "BrabantWallon" "Wallonia" 3 2020-03-17 "WestVlaanderen" "Flanders" 11
"34" 2020-03-18 "Antwerpen" "Flanders" 35 2020-03-18 "Brussels" "Brussels" 18 2020-03-18 "Hainaut" "Wallonia" 25 2020-03-18 "Limburg" "Flanders" 26 2020-03-18 "Liège" "Wallonia" 13 2020-03-18 "Luxembourg" "Wallonia" 3 2020-03-18 "Namur" "Wallonia" 4 2020-03-18 "OostVlaanderen" "Flanders" 24 2020-03-18 "VlaamsBrabant" "Flanders" 5 2020-03-18 "BrabantWallon" "Wallonia" 5 2020-03-18 "WestVlaanderen" "Flanders" 25
"45" 2020-03-19 "Antwerpen" "Flanders" 35 2020-03-19 "Brussels" "Brussels" 33 2020-03-19 "Hainaut" "Wallonia" 33 2020-03-19 "Limburg" "Flanders" 23 2020-03-19 "Liège" "Wallonia" 21 2020-03-19 "Luxembourg" "Wallonia" 10 2020-03-19 "Namur" "Wallonia" 1 2020-03-19 "OostVlaanderen" "Flanders" 22 2020-03-19 "VlaamsBrabant" "Flanders" 10 2020-03-19 "BrabantWallon" "Wallonia" 2 2020-03-19 "WestVlaanderen" "Flanders" 22
"56" 2020-03-20 "Antwerpen" "Flanders" 40 2020-03-20 "Brussels" "Brussels" 29 2020-03-20 "Hainaut" "Wallonia" 42 2020-03-20 "Limburg" "Flanders" 38 2020-03-20 "Liège" "Wallonia" 30 2020-03-20 "Luxembourg" "Wallonia" 9 2020-03-20 "Namur" "Wallonia" 11 2020-03-20 "OostVlaanderen" "Flanders" 50 2020-03-20 "VlaamsBrabant" "Flanders" 17 2020-03-20 "BrabantWallon" "Wallonia" 4 2020-03-20 "WestVlaanderen" "Flanders" 25
"67" 2020-03-21 "Antwerpen" "Flanders" 46 2020-03-21 "Brussels" "Brussels" 40 2020-03-21 "Hainaut" "Wallonia" 31 2020-03-21 "Limburg" "Flanders" 49 2020-03-21 "Liège" "Wallonia" 38 2020-03-21 "Luxembourg" "Wallonia" 11 2020-03-21 "Namur" "Wallonia" 9 2020-03-21 "OostVlaanderen" "Flanders" 52 2020-03-21 "VlaamsBrabant" "Flanders" 17 2020-03-21 "BrabantWallon" "Wallonia" 6 2020-03-21 "WestVlaanderen" "Flanders" 33
"78" 2020-03-22 "Antwerpen" "Flanders" 46 2020-03-22 "Brussels" "Brussels" 41 2020-03-22 "Hainaut" "Wallonia" 37 2020-03-22 "Limburg" "Flanders" 46 2020-03-22 "Liège" "Wallonia" 35 2020-03-22 "Luxembourg" "Wallonia" 8 2020-03-22 "Namur" "Wallonia" 4 2020-03-22 "OostVlaanderen" "Flanders" 20 2020-03-22 "VlaamsBrabant" "Flanders" 20 2020-03-22 "BrabantWallon" "Wallonia" 6 2020-03-22 "WestVlaanderen" "Flanders" 27
"89" 2020-03-23 "Antwerpen" "Flanders" 46 2020-03-23 "Brussels" "Brussels" 21 2020-03-23 "Hainaut" "Wallonia" 44 2020-03-23 "Limburg" "Flanders" 45 2020-03-23 "Liège" "Wallonia" 23 2020-03-23 "Luxembourg" "Wallonia" 4 2020-03-23 "Namur" "Wallonia" 9 2020-03-23 "OostVlaanderen" "Flanders" 22 2020-03-23 "VlaamsBrabant" "Flanders" 32 2020-03-23 "BrabantWallon" "Wallonia" 3 2020-03-23 "WestVlaanderen" "Flanders" 29
"100" 2020-03-24 "Antwerpen" "Flanders" 84 2020-03-24 "Brussels" "Brussels" 52 2020-03-24 "Hainaut" "Wallonia" 38 2020-03-24 "Limburg" "Flanders" 83 2020-03-24 "Liège" "Wallonia" 28 2020-03-24 "Luxembourg" "Wallonia" 8 2020-03-24 "Namur" "Wallonia" 11 2020-03-24 "OostVlaanderen" "Flanders" 51 2020-03-24 "VlaamsBrabant" "Flanders" 23 2020-03-24 "BrabantWallon" "Wallonia" 8 2020-03-24 "WestVlaanderen" "Flanders" 48
